question,url,answer,labeler,answer2,labeler2
How many institutions are a part of the HDFC?,https://eecs.berkeley.edu/resources/students/bpe/,7,Evan,Seven,
Which program is for formerly incarcerated students?,https://eecs.berkeley.edu/resources/students/bpe/,Berkeley Underground Scholars (BUS),Evan,Berkeley Underground Scholars (BUS),
How many institutions are part of LEAP?,https://eecs.berkeley.edu/resources/students/bpe/,11,Evan,Eleven,
Where do SUPERB participants room?,https://eecs.berkeley.edu/resources/undergrads/undergraduate-research/superb/,International House,Evan,International House,
Is the 2025 SUPERB application open?,https://eecs.berkeley.edu/resources/undergrads/undergraduate-research/superb/,No,Evan,No,
What is the minimum GPA to apply to SUPERB?,https://eecs.berkeley.edu/resources/undergrads/undergraduate-research/superb/,3,Evan,3,
"Who teaches ""The Beauty and Joy of Computing"" free online course?",https://eecs.berkeley.edu/academics/undergraduate/cs-ba/,Dan Garcia,Evan,,
What is the name of the EECS + Business degree?,https://eecs.berkeley.edu/academics/undergraduate/eecs-bs/,M.E.T.,Evan,,
Which engineering degree is a Bachelor of Arts,https://eecs.berkeley.edu/academics/undergraduate/compare-majors/,CS Major,Evan,,
Which engineering-related degrees accept AP credits,https://eecs.berkeley.edu/academics/undergraduate/compare-majors/,"ECE, EECS, CS",Evan,,
What are the acronyms of the summer research programs?,https://eecs.berkeley.edu/academics/undergraduate/summer-research/,"SUPERB, TTE, SROP, AMGEN, E3S",Evan,,
Where will the EECS Advisor table on Cal Day?,https://eecs.berkeley.edu/calday/,"Grimes Center, Raw Thrills Lounge",Evan,,
When is Cal Day?,https://eecs.berkeley.edu/calday/,"April 18, 2026",Evan,,
How many student sessions will there be on Cal Day?,https://eecs.berkeley.edu/calday/,6,Evan,,
Which graduate degree is intended for students to immediately join the engineering profession without pursuing a Ph.D.,https://eecs.berkeley.edu/academics/graduate/,Master of Engineering (M.Eng.),Evan,,
"I already have a Bachelor's degree, and want to apply to Berkeley for Bachelor's in EECS. Can you give advice?",https://eecs.berkeley.edu/academics/undergraduate/second-bachelor/,You can't pursue a second Bachelor's degree.,Evan,,
How many years is the M.Eng. program?,https://eecs.berkeley.edu/academics/graduate/industry-programs/,1,Evan,,
What is the typical GPA of a student in the 5th year master's program?,https://eecs.berkeley.edu/academics/graduate/industry-programs/5yrms/,3.88,Evan,,
When were the applications for 2026 5th year due?,https://eecs.berkeley.edu/academics/graduate/industry-programs/5yrms/,"December 16, 2025",Evan,,
How many times can you apply to the 5th year master's?,https://eecs.berkeley.edu/academics/graduate/industry-programs/5yrms/faq-2/,once,Evan,,
How many letters of recommendation do I need for my graduate application?,https://eecs.berkeley.edu/academics/graduate/research-programs/admissions/#grad-prereq,three,Evan,,
What is the minimum number of units for a Graduate student?,https://eecs.berkeley.edu/academics/graduate/faq-3/,8,Evan,,
What is the title of Jon Kleinberg's EECS colloquium?,https://eecs.berkeley.edu/research/colloquium/,Formal Models of Language Generation,Evan,,
Where will the Spring 2026 EECS colloquium be hosted?,https://eecs.berkeley.edu/research/colloquium/,"HP Auditiorium, 306 Soda Hall",Evan,,
Which student affairs leadership position is open?,https://eecs.berkeley.edu/people/staff/student-affairs/,Director of Student Support,Evan,,
What is Michelle Fong's phone number?,https://eecs.berkeley.edu/people/staff/student-affairs/,(510) 642-7214,Evan,,
What is Kait Guthrie's job title?,https://eecs.berkeley.edu/people/staff/student-affairs/,ECE Lead Advisor and EECS Advisor,Evan,,
Where is Grayson Johnston's office?,https://eecs.berkeley.edu/people/staff/student-affairs/,205 Cory,Evan,,
Which advisors are in 205 Cory?,https://eecs.berkeley.edu/people/staff/student-affairs/,"Gina Garcia, Kait Guthrie, Grayson Johnston",Evan,,
How many EECS staff have won the Berkeley Citation?,https://eecs.berkeley.edu/people/staff/awards-2/,4,Evan,,
What does COSA stand for?,https://eecs.berkeley.edu/people/staff/awards-2/,Chancellor's Outstanding Staff Award,Evan,,
In 2012 SHeila Humphreys met which famous person?,https://eecs.berkeley.edu/people/staff/awards-2/,Barack Obama,Evan,,
Who won an international award from Hungary?,https://eecs.berkeley.edu/people/staff/awards-2/,Katalin Voros,Evan,,
Who is the Staff Excellence Award named after?,https://eecs.berkeley.edu/people/staff/awards-2/zeilinger/,Wil Zeilinger,Evan,,
Where did Wil Zeilinger emigrate from?,https://eecs.berkeley.edu/people/staff/awards-2/zeilinger/,Austria,Evan,,
What year did Harry Douglas Huskey die?,https://eecs.berkeley.edu/people/faculty/in-memoriam/,2017,Evan,,
What year was Michael J. Clancy born?,https://eecs.berkeley.edu/people/faculty/in-memoriam/,1950,Evan,,
Which faculty won the National Medal of Science?,https://www2.eecs.berkeley.edu/Faculty/Awards/#91,"Richard M. Karp, John R. Whinnery",Evan,,
How many faculty won the ACM A.M. Turing Award?,https://www2.eecs.berkeley.edu/Faculty/Awards/#91,6,Evan,,
Who won the Honda Prize?,https://www2.eecs.berkeley.edu/Faculty/Awards/#91,Lotfi A. Zadeh,Evan,,
Who was the first EECS faculty to win the Berkeley Citation?,https://www2.eecs.berkeley.edu/Faculty/Awards/#91,John R. Whinnery,Evan,,
When did DeNero win the Berkeley Distinguished Teaching Award?,https://www2.eecs.berkeley.edu/Faculty/Awards/#91,2018,Evan,,
What is the course number for Computer Security?,https://www2.eecs.berkeley.edu/Courses/CS/,CS 161,Evan,,
What is the course name of CS 171?,https://www2.eecs.berkeley.edu/Courses/CS/,Cryptography,Evan,,
What is the course name of CS H196A,https://www2.eecs.berkeley.edu/Courses/CS/,Senior Honors Thesis Research,Evan,,
How many units is CS 261?,https://www2.eecs.berkeley.edu/Courses/CS/,3,Evan,,
What is the course name of CS 261N?,https://www2.eecs.berkeley.edu/Courses/CS/,Internet and Network Security,Evan,,
How many units is CS 602?,https://www2.eecs.berkeley.edu/Courses/CS/,1-8,Evan,,
Who is teaching ELENG 223 in Spring 2026?,https://www2.eecs.berkeley.edu/Scheduling/EE/schedule.html,Venkatachalam Anantharam,Evan,,
Where is ELENG 290 held?,https://www2.eecs.berkeley.edu/Scheduling/EE/schedule.html,Cory 521,Evan,,
How many EE courses is Shankar Sastry teaching in Spring 2026?,https://www2.eecs.berkeley.edu/Scheduling/EE/schedule.html,3,Evan,,
How many courses is Dan Garcia teaching in Spring 2026?,https://www2.eecs.berkeley.edu/Scheduling/CS/schedule.html,6,Evan,,
What is the CCN of COMPSCI 61B?,https://www2.eecs.berkeley.edu/Scheduling/CS/schedule.html,10391,Evan,,
Which course is Pieter Abbeel drafted to teach in the future?,https://www2.eecs.berkeley.edu/Scheduling/CS/schedule-draft.html,CS 188,Evan,,
What phone number should I call for the Hertz Fellowship information?,https://eecs.berkeley.edu/academics/graduate/fellowships/,(925) 373-1642,Evan,,
Joshua You received which scholarship in 2025/2026?,https://eecs.berkeley.edu/academics/new-silicon-initiative-nsi/,Apple Scholarship,Evan,,
Who did Cade Gordon submit his technical report with?,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2025/,Amy Lu and Pieter Abbeel,Evan,,
"Who wrote ""An Extensible and Retargetable Code Generation Framework for Actor Models""?",https://www2.eecs.berkeley.edu/Pubs/TechRpts/2009/,Man-Kit Leung,Evan,,
Which master's student did work on context steering to mitigate bias?,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2024/EECS-2024-99.html,Sashrika Pandey,Evan,,
How many PhD students of Anca Dragan graduated in 2025?,https://www2.eecs.berkeley.edu/Pubs/Dissertations/Years/2025.html,1,Evan,,
What year did Andreea Bobu graduate from Ph.D.?,https://www2.eecs.berkeley.edu/Pubs/Dissertations/Years/2023.html,2023,Evan,,
What is the title of Dylan Hadfield-Menell's Ph.D. thesis?,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2021/EECS-2021-207.html,The Principal-Agent Alignment Problem in Artificial Intelligence,Evan,,
Which CS Distinguished Alumni award winner created ChatGPT?,https://eecs.berkeley.edu/people/alumni/cs-distinguished-alumni/,John Schulman,Evan,,
Where does Peter Bartlett work?,https://www.stat.berkeley.edu/~bartlett/bio.html,Google DeepMind,Evan,,
Which professor graduated in 2019 studying distributed systems at Texas?,https://www2.eecs.berkeley.edu/Faculty/Homepages/ncrooks.html,Natacha Crooks,Evan,,
What is the website of the database group?,https://www2.eecs.berkeley.edu/Research/Areas/DBMS/,db.cs.berkeley.edu,Evan,,
Which professor went to a school in Greece for undergrad?,https://www2.eecs.berkeley.edu/Faculty/Homepages/adim.html,Alex Dimakis,Evan,,
Who runs research support for Rao?,https://www2.eecs.berkeley.edu/Faculty/Homepages/rao.html,Eva Leach,Evan,,
Who's the department chair?,https://eecs.berkeley.edu/people/leadership/,Jelani Nelson,Evan,,
Who's the coordinator of OSNT?,https://www2.eecs.berkeley.edu/Research/Areas/OSNT/,Eric Brewer,Evan,,
How man students were named Siebel scholars in 2025?,https://eecs.berkeley.edu/news/page/4/,5,Evan,,
When is the Accel Scholars Info-Session?,http://eecs.berkeley.edu/events/,"Monday March 16, 2026",Evan,,
Who are the financial services managers?,https://eecs.berkeley.edu/people/staff/financial-staff/,"Gabe Chang, Caitlin Dey-Ward, Rebecca Davis, ",Evan,,
Which course is also available as a MOOC?,https://eecs.berkeley.edu/connect/k-12/,Beauty and Joy of Computing (BJC),Evan,,
Who founded the Urban Atmospheres research group?,https://www2.eecs.berkeley.edu/Faculty/Homepages/paulos.html,Eric Paulos,Evan,,
Who was Paul Morton's advisor?,https://www2.eecs.berkeley.edu/Pubs/Dissertations/Years/1943.html,Leonard B. Loeb,Evan,,
